longitude,latitude,start_date,end_date,label,id
-55.724671623663,-11.546874998956,2000-02-18,2017-03-18,NoClass,309
-55.722545255333,-11.546874998956,2000-02-18,2017-03-18,NoClass,310
-55.720418887004,-11.546874998956,2000-02-18,2017-03-18,NoClass,311
-55.718292518675,-11.546874998956,2000-02-18,2017-03-18,NoClass,312
-55.716166150345,-11.546874998956,2000-02-18,2017-03-18,NoClass,313
-55.714039782016,-11.546874998956,2000-02-18,2017-03-18,NoClass,314
-55.711913413687,-11.546874998956,2000-02-18,2017-03-18,NoClass,315
-55.709787045357,-11.546874998956,2000-02-18,2017-03-18,NoClass,316
-55.707660677028,-11.546874998956,2000-02-18,2017-03-18,NoClass,317
-55.705534308698,-11.546874998956,2000-02-18,2017-03-18,NoClass,318
-55.703407940369,-11.546874998956,2000-02-18,2017-03-18,NoClass,319
-55.70128157204,-11.546874998956,2000-02-18,2017-03-18,NoClass,320
-55.69915520371,-11.546874998956,2000-02-18,2017-03-18,NoClass,321
-55.697028835381,-11.546874998956,2000-02-18,2017-03-18,NoClass,322
-55.694902467051,-11.546874998956,2000-02-18,2017-03-18,NoClass,323
-55.692776098722,-11.546874998956,2000-02-18,2017-03-18,NoClass,324
-55.690649730393,-11.546874998956,2000-02-18,2017-03-18,NoClass,325
-55.688523362063,-11.546874998956,2000-02-18,2017-03-18,NoClass,326
-55.686396993734,-11.546874998956,2000-02-18,2017-03-18,NoClass,327
-55.684270625405,-11.546874998956,2000-02-18,2017-03-18,NoClass,328
-55.682144257075,-11.546874998956,2000-02-18,2017-03-18,NoClass,329
-55.680017888746,-11.546874998956,2000-02-18,2017-03-18,NoClass,330
-55.677891520417,-11.546874998956,2000-02-18,2017-03-18,NoClass,331
-55.675765152087,-11.546874998956,2000-02-18,2017-03-18,NoClass,332
-55.673638783758,-11.546874998956,2000-02-18,2017-03-18,NoClass,333
-55.671512415429,-11.546874998956,2000-02-18,2017-03-18,NoClass,334
-55.669386047099,-11.546874998956,2000-02-18,2017-03-18,NoClass,335
-55.66725967877,-11.546874998956,2000-02-18,2017-03-18,NoClass,336
-55.754026636152,-11.544791665623,2000-02-18,2017-03-18,NoClass,337
-55.751900283618,-11.544791665623,2000-02-18,2017-03-18,NoClass,338
-55.749773931083,-11.544791665623,2000-02-18,2017-03-18,NoClass,339
-55.747647578548,-11.544791665623,2000-02-18,2017-03-18,NoClass,340
-55.745521226014,-11.544791665623,2000-02-18,2017-03-18,NoClass,341
-55.743394873479,-11.544791665623,2000-02-18,2017-03-18,NoClass,342
-55.741268520944,-11.544791665623,2000-02-18,2017-03-18,NoClass,343
-55.739142168409,-11.544791665623,2000-02-18,2017-03-18,NoClass,344
-55.737015815875,-11.544791665623,2000-02-18,2017-03-18,NoClass,345
-55.73488946334,-11.544791665623,2000-02-18,2017-03-18,NoClass,346
-55.732763110805,-11.544791665623,2000-02-18,2017-03-18,NoClass,347
-55.730636758271,-11.544791665623,2000-02-18,2017-03-18,NoClass,348
-55.728510405736,-11.544791665623,2000-02-18,2017-03-18,NoClass,349
-55.726384053201,-11.544791665623,2000-02-18,2017-03-18,NoClass,350
-55.724257700666,-11.544791665623,2000-02-18,2017-03-18,NoClass,351
-55.722131348132,-11.544791665623,2000-02-18,2017-03-18,NoClass,352
-55.720004995597,-11.544791665623,2000-02-18,2017-03-18,NoClass,353
-55.717878643062,-11.544791665623,2000-02-18,2017-03-18,NoClass,354
-55.715752290528,-11.544791665623,2000-02-18,2017-03-18,NoClass,355
-55.713625937993,-11.544791665623,2000-02-18,2017-03-18,NoClass,356
-55.711499585458,-11.544791665623,2000-02-18,2017-03-18,NoClass,357
-55.709373232924,-11.544791665623,2000-02-18,2017-03-18,NoClass,358
-55.707246880389,-11.544791665623,2000-02-18,2017-03-18,NoClass,359
-55.705120527854,-11.544791665623,2000-02-18,2017-03-18,NoClass,360
-55.70299417532,-11.544791665623,2000-02-18,2017-03-18,NoClass,361
-55.700867822785,-11.544791665623,2000-02-18,2017-03-18,NoClass,362
-55.69874147025,-11.544791665623,2000-02-18,2017-03-18,NoClass,363
-55.696615117715,-11.544791665623,2000-02-18,2017-03-18,NoClass,364
-55.694488765181,-11.544791665623,2000-02-18,2017-03-18,NoClass,365
-55.692362412646,-11.544791665623,2000-02-18,2017-03-18,NoClass,366
-55.690236060111,-11.544791665623,2000-02-18,2017-03-18,NoClass,367
-55.688109707577,-11.544791665623,2000-02-18,2017-03-18,NoClass,368
-55.685983355042,-11.544791665623,2000-02-18,2017-03-18,NoClass,369
-55.683857002507,-11.544791665623,2000-02-18,2017-03-18,NoClass,370
-55.681730649973,-11.544791665623,2000-02-18,2017-03-18,NoClass,371
-55.679604297438,-11.544791665623,2000-02-18,2017-03-18,NoClass,372
-55.677477944903,-11.544791665623,2000-02-18,2017-03-18,NoClass,373
-55.675351592368,-11.544791665623,2000-02-18,2017-03-18,NoClass,374
